"pclass","sex","age","sibsp","parch","fare","embarked"
1,1,36,0,0,1,1
1,1,18.5,0,0,2,2
1,1,63,1,0,3,3
2,2,18,1,0,1,1
2,2,30.2725903614458,0,0,1,1
1,1,1,1,1,3,3
2,2,36,0,0,1,1
1,1,29,1,0,3,3
1,1,12,0,0,3,3
2,2,30.2725903614458,1,0,2,2
1,1,35,1,0,1,1
2,2,28,0,0,3,3
2,2,30.2725903614458,0,0,2,2
1,1,17,0,1,3,3
2,2,22,0,0,3,3
1,1,30.2725903614458,2,0,2,2
2,2,42,0,0,3,3
2,2,24,0,0,3,3
2,2,32,0,0,3,3
2,2,53,0,0,1,1
1,1,30.2725903614458,0,4,3,3
2,2,30.2725903614458,1,0,1,1
2,2,43,0,0,3,3
2,2,24,0,0,3,3
2,2,26.5,0,0,1,1
2,2,26,0,0,3,3
1,1,23,0,0,3,3
2,2,40,1,6,3,3
1,1,10,5,2,3,3
1,1,33,0,0,3,3
2,2,61,1,3,1,1
2,2,28,0,0,3,3
2,2,42,0,0,3,3
2,2,31,3,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,22,0,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,30,1,1,3,3
1,1,23,0,1,1,1
2,2,30.2725903614458,0,0,1,1
2,2,60.5,0,0,3,3
1,1,36,0,2,3,3
2,2,13,4,2,3,3
2,2,24,0,0,3,3
1,1,29,0,0,3,3
1,1,23,0,0,3,3
2,2,42,0,0,3,3
1,1,26,0,2,3,3
1,1,30.2725903614458,0,0,2,2
2,2,7,1,1,1,1
1,1,26,0,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,41,0,0,3,3
1,1,26,1,1,3,3
2,2,48,0,0,1,1
2,2,18,2,2,3,3
1,1,30.2725903614458,0,0,1,1
1,1,22,0,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,27,0,0,1,1
2,2,23,1,0,3,3
2,2,30.2725903614458,0,0,1,1
2,2,40,1,5,3,3
1,1,15,0,2,3,3
1,1,20,0,0,3,3
2,2,54,1,0,1,1
1,1,36,0,3,3,3
1,1,64,0,2,1,1
2,2,30,0,0,3,3
2,2,37,1,1,1,1
1,1,18,1,0,3,3
2,2,30.2725903614458,0,0,2,2
1,1,27,1,1,1,1
2,2,40,0,0,3,3
1,1,21,0,1,3,3
2,2,17,2,0,3,3
1,1,30.2725903614458,8,2,3,3
2,2,40,0,0,3,3
2,2,34,1,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,11.5,1,1,3,3
2,2,61,0,0,2,2
2,2,8,0,2,3,3
2,2,33,0,0,3,3
2,2,6,0,2,1,1
1,1,18,0,0,3,3
2,2,23,0,0,3,3
1,1,30.2725903614458,0,0,3,3
1,1,30.2725903614458,0,0,2,2
2,2,0.33,0,2,3,3
2,2,47,1,0,1,1
1,1,8,1,1,3,3
2,2,25,0,0,3,3
2,2,30.2725903614458,0,0,1,1
1,1,35,0,0,2,2
2,2,24,0,0,3,3
1,1,33,0,0,1,1
2,2,25,0,0,3,3
2,2,32,0,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,17,0,0,3,3
1,1,60,1,0,3,3
1,1,38,4,2,3,3
2,2,42,0,0,3,3
1,1,30.2725903614458,0,0,2,2
2,2,57,1,1,3,3
1,1,50,1,1,1,1
2,2,30.2725903614458,0,0,3,3
1,1,30,1,0,1,1
2,2,21,0,0,3,3
1,1,22,0,0,3,3
2,2,21,0,0,3,3
1,1,53,0,0,1,1
1,1,30.2725903614458,0,2,1,1
2,2,23,0,0,3,3
1,1,30.2725903614458,0,0,2,2
2,2,40.5,0,0,3,3
2,2,36,0,0,3,3
2,2,14,0,0,3,3
1,1,21,0,0,3,3
2,2,21,1,0,3,3
2,2,30.2725903614458,0,0,2,2
2,2,39,1,0,1,1
2,2,20,0,0,3,3
2,2,64,1,0,1,1
2,2,20,0,0,1,1
1,1,18,1,1,3,3
1,1,48,1,0,1,1
1,1,55,0,0,1,1
1,1,45,0,2,3,3
2,2,45,1,1,1,1
2,2,30.2725903614458,0,0,3,3
2,2,30.2725903614458,1,2,3,3
2,2,41,1,0,3,3
1,1,22,0,0,3,3
2,2,42,1,1,3,3
1,1,29,1,0,3,3
1,1,30.2725903614458,1,0,1,1
1,1,0.92,1,2,3,3
2,2,20,0,0,3,3
2,2,27,1,0,1,1
2,2,24,0,0,3,3
2,2,32.5,0,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,30.2725903614458,0,0,2,2
2,2,28,0,0,3,3
1,1,19,0,0,3,3
2,2,21,0,0,3,3
2,2,36.5,1,0,3,3
2,2,21,0,0,3,3
1,1,29,0,2,3,3
1,1,1,1,1,3,3
2,2,30,0,0,1,1
2,2,30.2725903614458,0,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,30.2725903614458,0,0,3,3
1,1,30.2725903614458,0,0,3,3
2,2,17,0,0,3,3
2,2,46,0,0,1,1
2,2,30.2725903614458,0,0,2,2
1,1,26,1,0,1,1
1,1,30.2725903614458,1,0,2,2
2,2,30.2725903614458,0,0,1,1
1,1,20,1,0,3,3
2,2,28,0,0,3,3
2,2,40,1,0,3,3
2,2,30,1,0,3,3
2,2,22,0,0,3,3
1,1,23,0,0,3,3
2,2,0.75,1,1,3,3
1,1,30.2725903614458,0,0,2,2
1,1,9,1,1,1,1
1,1,2,1,1,3,3
2,2,36,0,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,24,1,0,3,3
2,2,30.2725903614458,0,0,1,1
2,2,30.2725903614458,0,0,3,3
2,2,30.2725903614458,0,0,3,3
1,1,30,0,0,2,2
2,2,30.2725903614458,0,0,1,1
2,2,53,1,1,3,3
2,2,36,0,0,3,3
2,2,26,0,0,3,3
1,1,1,1,2,1,1
2,2,30.2725903614458,2,0,1,1
2,2,30,0,0,3,3
2,2,29,0,0,3,3
2,2,32,0,0,3,3
2,2,30.2725903614458,0,0,1,1
2,2,43,0,1,3,3
2,2,24,0,0,3,3
1,1,30.2725903614458,0,0,2,2
1,1,64,1,1,3,3
2,2,30,1,2,3,3
2,2,0.83,0,1,3,3
2,2,55,1,1,3,3
1,1,45,1,0,3,3
2,2,18,0,0,3,3
2,2,22,0,0,1,1
2,2,30.2725903614458,0,0,3,3
1,1,37,0,0,2,2
1,1,55,0,0,1,1
1,1,17,0,0,2,2
2,2,57,1,0,1,1
2,2,19,0,0,3,3
2,2,27,0,0,3,3
2,2,22,2,0,3,3
2,2,26,0,0,3,3
2,2,25,0,0,1,1
2,2,26,0,0,3,3
2,2,33,0,0,3,3
1,1,39,0,0,3,3
2,2,23,0,0,3,3
1,1,12,2,1,3,3
2,2,46,0,0,1,1
2,2,29,1,0,3,3
2,2,21,0,0,3,3
1,1,48,0,2,3,3
2,2,39,0,0,1,1
2,2,30.2725903614458,0,0,1,1
1,1,19,1,1,1,1
2,2,27,0,0,3,3
2,2,30,0,0,3,3
2,2,32,0,0,3,3
2,2,39,0,2,1,1
2,2,25,0,0,3,3
2,2,30.2725903614458,0,0,1,1
2,2,18,0,0,3,3
2,2,32,0,0,3,3
2,2,30.2725903614458,1,9,3,3
1,1,58,0,1,1,1
2,2,30.2725903614458,1,1,3,3
1,1,16,0,0,3,3
2,2,26,0,0,3,3
1,1,38,0,0,1,1
2,2,24,0,0,3,3
1,1,31,0,0,3,3
1,1,45,0,1,1,1
2,2,25,0,0,3,3
2,2,18,0,0,3,3
2,2,49,1,2,3,3
1,1,0.17,1,2,3,3
2,2,50,0,0,3,3
1,1,59,2,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,30.2725903614458,0,0,2,2
1,1,30,1,0,3,3
2,2,14.5,8,2,3,3
1,1,24,1,1,1,1
1,1,31,0,0,3,3
2,2,27,0,0,3,3
1,1,25,1,0,1,1
1,1,30.2725903614458,1,9,3,3
2,2,30.2725903614458,1,0,1,1
1,1,22,0,0,3,3
1,1,45,0,1,1,1
2,2,29,0,0,1,1
2,2,21,1,0,3,3
1,1,31,0,0,1,1
2,2,49,0,0,3,3
2,2,44,0,0,3,3
1,1,54,1,1,3,3
1,1,45,0,0,1,1
1,1,22,2,0,3,3
2,2,21,0,0,3,3
2,2,55,0,0,3,3
2,2,5,4,2,3,3
2,2,30.2725903614458,0,0,2,2
2,2,26,0,0,2,2
1,1,30.2725903614458,0,0,3,3
1,1,19,1,0,3,3
2,2,30.2725903614458,0,0,3,3
1,1,24,1,2,3,3
2,2,24,0,0,3,3
2,2,57,0,0,3,3
2,2,21,0,0,2,2
2,2,6,3,1,3,3
2,2,23,0,0,3,3
1,1,51,0,1,3,3
2,2,13,0,2,3,3
2,2,47,0,0,3,3
2,2,29,3,1,3,3
1,1,18,1,0,3,3
2,2,24,0,0,2,2
1,1,48,1,1,1,1
2,2,22,0,0,3,3
2,2,31,0,0,2,2
1,1,30,0,0,3,3
2,2,38,1,0,3,3
1,1,22,0,1,1,1
2,2,17,0,0,3,3
2,2,43,1,0,1,1
2,2,20,0,0,1,1
2,2,23,1,0,3,3
2,2,50,1,1,1,1
1,1,30.2725903614458,0,0,2,2
1,1,3,1,1,3,3
1,1,30.2725903614458,0,0,2,2
1,1,37,1,0,2,2
1,1,28,0,0,3,3
2,2,30.2725903614458,0,0,3,3
1,1,39,0,0,1,1
2,2,38.5,0,0,3,3
2,2,30.2725903614458,0,0,3,3
2,2,30.2725903614458,1,1,1,1
